user_id,age,level,sex,orders,values,recent_date
662,24,High,Male,197,172146,2016/7/23 12:24:28
833,17,High,Male,227,198124,2016/7/23 12:24:28
2289,30,High,Female,302,190385,2016/7/23 12:24:28
2754,59,High,Male,654,90290,2016/7/23 12:24:28
3207,36,High,Male,486,367020,2016/7/23 12:24:28
5658,19,High,Female,1087,165289,2016/7/23 12:24:28
5823,58,High,Male,328,231818,2016/7/23 12:24:28
7323,60,High,Male,73,52152,2016/7/23 12:24:28
7896,35,High,Male,1157,181705,2016/7/23 12:24:28
8454,32,High,Female,870,292592,2016/7/28 12:24:28
8581,35,High,Female,101,35626,2016/7/28 12:24:28
8930,56,Low,Male,425,132026,2016/7/28 12:24:28
9106,36,High,Male,346,290560,2016/7/28 12:24:28
9605,45,Low,,1239,363087,2016/7/28 12:24:28
2160,60,High,Male,172,123992,2016/7/29 12:24:28
3348,35,Low,Male,4286,462890,2016/7/29 12:24:28
3390,,High,Male,371,346478,2016/7/29 12:24:28
3405,53,High,Female,113,99476,2016/7/29 12:24:28
3828,68,High,Male,87,76371,2016/7/29 12:24:28
4058,19,High,Male,849,430471,2016/7/29 12:24:28
4076,1200,High,Male,953,144968,2016/7/29 12:24:28
6984,38,Low,Male,234,227794,2016/7/29 12:24:28
7308,36,High,Male,216,128382,2016/7/29 12:24:28
8739,69,High,Female,367,171050,2016/7/29 12:24:28
9184,35,High,Male,424,185325,2016/7/29 12:24:28
3543,19,High,Male,376,365871,2016/7/30 12:24:28
3888,53,High,Male,1387,201127,2016/7/30 12:24:28
4228,52,High,Female,451,129177,2016/7/30 12:24:28
5017,45,High,Male,364,123075,2016/7/30 12:24:28
5940,79,High,Male,88,84616,2016/7/30 12:24:28
6674,31,High,Male,360,159187,2016/7/30 12:24:28
6918,33,High,Male,386,227282,2016/7/30 12:24:28
7686,42,High,Male,484,445940,2016/7/30 12:24:28
8113,22,High,Male,232,188950,2016/7/30 12:24:28
9151,19,High,Female,133,123416,2016/7/30 12:24:28
851,34,High,Female,701,188798,2016/7/31 12:24:28
1380,27,High,Female,62,29904,2016/7/31 12:24:28
1656,46,High,Male,309,99835,2016/7/31 12:24:28
2145,21,High,Female,61,60639,2016/7/31 12:24:28
2953,37,High,Male,711,98941,2016/7/31 12:24:28
5048,29,High,Male,797,235168,2016/7/31 12:24:28
6047,19,High,Female,615,375114,2016/7/31 12:24:28
7530,43,Normal,Female,424,154785,2016/7/31 12:24:28
9077,41,High,Female,322,185057,2016/7/31 12:24:28
780,18,High,Male,300,231193,2016/8/1 12:24:28
6072,46,High,Male,554,161337,2016/8/1 12:24:28
6524,77,High,Male,121,72931,2016/8/1 12:24:28
8084,42,High,Female,498,185057,2016/8/1 12:24:28
8346,18,Low,Female,469,256191,2016/8/1 12:24:28
8906,24,Normal,Male,187,154571,2016/8/1 12:24:28
8972,27,High,Female,66,31935,2016/8/1 12:24:28
9234,49,High,Male,217,113513,2016/8/1 12:24:28
75,27,High,Male,249,213921,2016/8/2 12:24:28
2617,42,High,Female,468,142756,2016/8/2 12:24:28
5514,42,High,Male,530,266084,2016/8/2 12:24:28
5900,18,High,Female,137,78817,2016/8/2 12:24:28
6563,20,Low,Female,700,227554,2016/8/2 12:24:28
8054,31,Low,Female,360,255830,2016/8/2 12:24:28
8141,28,High,Male,287,190303,2016/8/2 12:24:28
8566,21,High,Female,97,73679,2018/1/25 12:24:28
8851,33,High,Male,126,111985,2018/1/25 12:24:28
9007,58,High,Male,302,130454,2018/1/25 12:24:28
9357,28,High,Male,497,398220,2018/1/25 12:24:28
9870,20,High,Female,340,289944,2018/1/25 12:24:28
557,54,High,Male,819,212960,2018/1/26 12:24:28
1116,20,High,Female,136,117606,2018/1/26 12:24:28
1969,60,High,Male,337,197553,2018/1/26 12:24:28
2550,21,High,Female,215,148509,2018/1/26 12:24:28
4488,35,High,Male,338,225399,2018/1/26 12:24:28
6403,34,High,Male,223,204470,2018/1/26 12:24:28
6469,23,High,Female,213,156423,2018/1/26 12:24:28
9636,30,High,Male,472,375827,2018/1/26 12:24:28
2179,39,High,Male,414,184659,2018/1/27 12:24:28
2931,40,High,Female,503,220609,2018/1/27 12:24:28
3683,19,High,Female,240,206599,2018/1/27 12:24:28
3696,32,High,Male,114,107843,2018/1/27 12:24:28
3973,35,High,Male,478,227571,2018/1/27 12:24:28
5056,33,High,Male,561,205649,2018/1/27 12:24:28
6785,36,Normal,Male,286,228157,2018/1/27 12:24:28
8958,37,High,Male,479,126011,2018/1/27 12:24:28
9274,38,High,Male,294,197077,2018/1/27 12:24:28
9599,56,High,Male,129,125147,2018/1/27 12:24:28
236,38,High,Male,316,115076,2018/1/28 12:24:28
682,26,High,Male,230,167350,2018/1/28 12:24:28
733,19,High,Female,232,192453,2018/1/28 12:24:28
3704,46,High,Male,628,222374,2018/1/28 12:24:28
4164,48,High,Female,978,107682,2018/1/28 12:24:28
4381,29,High,Male,591,209301,2018/1/28 12:24:28
4578,29,High,Female,118,89030,2018/1/28 12:24:28
6296,75,Low,Male,148,113868,2018/1/28 12:24:28
7545,44,High,Male,251,125461,2018/1/28 12:24:28
8652,36,High,Male,180,103323,2018/1/28 12:24:28
9022,54,High,Male,309,242606,2018/1/28 12:24:28
921,33,High,Female,1279,373662,2018/1/29 12:24:28
1471,26,High,Male,296,256263,2018/1/29 12:24:28
2356,57,High,Male,285,205708,2018/1/29 12:24:28
2872,22,High,Female,28,24896,2018/1/29 12:24:28
3548,37,Low,Male,589,382802,2018/1/29 12:24:28
5877,71,High,Male,272,163385,2018/1/29 12:24:28
6833,39,High,Male,308,269722,2018/1/29 12:24:28
7600,44,High,Female,1535,191893,2018/1/29 12:24:28
8338,47,High,Female,377,173613,2018/1/29 12:24:28
26,19,High,Male,307,168294,2018/1/30 12:24:28
93,30,Normal,Female,350,117747,2018/1/30 12:24:28
806,22,High,Male,228,137510,2018/1/30 12:24:28
821,43,High,Male,247,233130,2018/1/30 12:24:28
1779,45,Normal,Female,236,166107,2018/1/30 12:24:28
1954,45,Normal,Male,147,133969,2018/1/30 12:24:28
2529,20,High,Female,282,174063,2018/1/30 12:24:28
3313,57,High,Female,660,268252,2018/1/30 12:24:28
3904,49,High,Female,1193,371299,2018/1/30 12:24:28
3980,25,High,Male,196,163039,2018/1/30 12:24:28
4850,36,High,Male,822,398931,2018/1/30 12:24:28
5535,28,High,Female,648,308709,2018/1/30 12:24:28
5583,35,Low,Male,534,176756,2018/1/30 12:24:28
5809,33,High,Female,347,166961,2018/1/30 12:24:28
6358,44,High,Female,1452,228057,2018/1/30 12:24:28
7003,28,Low,Female,320,291374,2018/1/30 12:24:28
8775,56,High,Male,269,95763,2018/1/30 12:24:28
1998,27,High,Female,361,113545,2018/1/31 12:24:28
3271,19,High,Female,80,40425,2018/1/31 12:24:28
4124,29,High,Female,1206,446559,2018/1/31 12:24:28
5258,41,High,Male,77,70037,2018/1/31 12:24:28
6684,54,Normal,Male,856,269068,2018/1/31 12:24:28
6753,44,High,Male,416,71269,2018/1/31 12:24:28
7001,56,High,Male,1577,160932,2018/1/31 12:24:28
7527,35,High,Male,811,196491,2018/1/31 12:24:28
8580,60,High,Male,294,141253,2018/1/31 12:24:28
1410,19,High,Male,375,172582,2018/2/1 12:24:28
2285,45,High,Female,221,158685,2018/2/1 12:24:28
2930,49,High,Female,955,288548,2018/2/1 12:24:28
3866,56,High,Male,788,201822,2018/2/1 12:24:28
5928,43,High,Male,357,162003,2018/2/1 12:24:28
7714,37,High,Male,247,213008,2018/2/1 12:24:28
8507,27,High,Female,977,189589,2018/2/1 12:24:28
9391,26,High,Male,347,166295,2018/2/1 12:24:28
5260,36,High,Male,180,177907,2018/2/2 12:24:28
5560,28,High,Female,245,224964,2018/2/2 12:24:28
5842,30,High,Male,471,243665,2018/2/2 12:24:28
5890,24,High,Female,363,186221,2018/2/2 12:24:28
7466,24,High,Male,131,33088,2018/2/2 12:24:28
8237,50,High,Male,32,22418,2018/2/2 12:24:28
2567,33,High,Male,357,326104,2018/2/3 12:24:28
3854,50,High,Male,180,176969,2018/2/3 12:24:28
5288,20,High,Female,296,190963,2018/2/3 12:24:28
6182,44,High,Male,514,383493,2018/2/3 12:24:28
6215,52,High,Male,479,305053,2018/2/3 12:24:28
6364,19,Low,Male,235,121972,2018/2/3 12:24:28
7673,69,High,Male,144,107548,2018/2/3 12:24:28
8477,32,High,Male,225,112176,2018/2/3 12:24:28
9240,52,High,Male,215,110977,2018/2/3 12:24:28
9346,45,High,Male,518,179428,2018/2/3 12:24:28
3488,51,High,Male,440,199688,2018/2/4 12:24:28
3602,26,Other,Male,931,292353,2018/2/4 12:24:28
4751,36,Normal,Male,296,180805,2018/2/4 12:24:28
5417,23,High,Male,322,319842,2018/2/4 12:24:28
7778,28,High,Male,501,167536,2018/2/4 12:24:28
9213,64,High,Male,198,195366,2018/2/4 12:24:28
9329,54,High,Male,390,99185,2018/2/4 12:24:28
482,25,Low,Female,269,189775,2018/2/5 12:24:28
1101,35,High,Male,491,289430,2018/2/5 12:24:28
1337,17,High,Female,170,145886,2018/2/5 12:24:28
2747,31,Low,Male,525,300687,2018/2/5 12:24:28
3684,21,High,Male,859,596776,2018/2/5 12:24:28
4038,19,High,Male,1198,387215,2018/2/5 12:24:28
4450,50,High,Male,117,103063,2018/2/5 12:24:28
6598,39,High,Male,1647,177907,2018/2/5 12:24:28
9952,31,High,Female,581,210926,2018/2/5 12:24:28
1115,48,Low,Female,116,95244,2018/2/6 12:24:28
1911,30,High,Male,488,204374,2018/2/6 12:24:28
2527,59,High,Female,233,100776,2018/2/6 12:24:28
3638,75,High,Male,551,184335,2018/2/6 12:24:28
5933,35,High,Female,1080,177121,2018/2/6 12:24:28
5950,35,High,Female,275,189916,2018/2/6 12:24:28
6413,43,High,Male,609,303051,2018/2/6 12:24:28
7021,42,Low,Female,115,46366,2018/2/6 12:24:28
7357,46,High,Female,353,295791,2018/2/6 12:24:28
8303,29,High,Female,254,204862,2018/2/6 12:24:28
9243,31,High,Male,257,131568,2018/2/6 12:24:28
9545,30,Low,Female,306,177531,2018/2/6 12:24:28
1260,47,Low,Female,510,200734,2018/2/7 12:24:28
2552,56,High,Female,886,117881,2018/2/7 12:24:28
2675,40,High,Female,684,229364,2018/2/7 12:24:28
7211,40,High,Female,812,163215,2018/2/7 12:24:28
7493,19,High,Female,211,175652,2018/2/7 12:24:28
7800,37,High,Female,59,51158,2018/2/7 12:24:28
7824,35,High,Female,1040,359131,2018/2/7 12:24:28
1992,24,High,Male,297,296045,2018/2/8 12:24:28
2761,20,High,Female,147,64292,2018/2/8 12:24:28
3545,43,High,Male,992,336513,2018/2/8 12:24:28
3551,31,High,Male,1867,332379,2018/2/8 12:24:28
6600,36,High,Female,1185,263130,2018/2/8 12:24:28
6671,36,High,Male,1409,218490,2018/2/8 12:24:28
7119,44,Low,Male,1518,239876,2018/2/8 12:24:28
8518,31,High,Male,829,175856,2018/2/8 12:24:28
8734,39,High,Male,242,120130,2018/2/8 12:24:28
9496,17,High,Female,181,156736,2018/2/8 12:24:28
1566,72,High,Female,326,213255,2018/2/9 12:24:28
2495,25,High,Female,921,374918,2018/2/9 12:24:28
2790,41,High,Male,251,237321,2018/2/9 12:24:28
2889,38,High,Female,49,37028,2018/2/9 12:24:28
3542,19,High,Female,83,37332,2018/2/9 12:24:28
7328,30,High,Male,842,176185,2018/2/9 12:24:28
7966,33,Low,Female,472,236818,2018/2/9 12:24:28
8802,64,High,Male,247,103021,2018/2/9 12:24:28
266,33,High,Female,208,185480,2018/2/10 12:24:28
1863,23,High,Male,28,22966,2018/2/10 12:24:28
2875,43,High,Male,323,307767,2018/2/10 12:24:28
4016,27,High,Male,36,35032,2018/2/10 12:24:28
5166,36,High,Female,1413,214816,2018/2/10 12:24:28
6087,19,High,Female,265,185695,2018/2/10 12:24:28
7556,27,High,Female,151,130067,2018/2/10 12:24:28
7923,45,High,Female,350,189802,2018/2/10 12:24:28
445,20,High,Male,234,146538,2018/2/11 12:24:28
1675,53,High,Female,300,117496,2018/2/11 12:24:28
2921,45,High,Male,106,84790,2018/2/11 12:24:28
3329,24,High,Female,1428,182812,2018/2/11 12:24:28
