产品SKU,订单产品数量,订单产品收入
619,17,494
1501,0,0
2916,0,0
308,0,0
1739,19,476
317,7,335
372,2,45
2708,4,143
1905,9,379
2393,63,1497
3163,1,39
565,7,176
3298,0,0
3151,13,312
69,22,658
1802,16,645
645,1,51
418,1,26
171,1,23
239,0,0
2818,1,24
623,1,40
172,1,23
25,1,32
3046,0,0
3862,5,199
329,0,0
311,1,43
2510,1,33
470,1,38
33,1,30
2298,11,346
1672,1,22
37,0,0
366,18,591
249,0,0
472,1,39
3896,0,0
858,3,96
429,0,0
1871,1,27
1946,1,31
3438,1,35
806,0,0
95,1,27
1497,1,34
1734,0,0
102,0,0
266,1,30
452,1,24
1751,10,215
1098,1,43
3696,10,346
115,0,0
2795,0,0
1132,1,34
391,1,36
321,0,0
459,2,72
323,1,35
1785,0,0
119,7,151
3444,4,186
3955,0,0
17,8,353
700,4,145
1812,2,72
1814,1,39
1240,19,403
3703,1,27
2025,0,0
956,1,33
624,0,0
2527,3,46
2069,2,54
3314,2,59
210,1,39
290,0,0
3437,1,34
1665,13,272
144,0,0
407,1,26
3159,9,214
2051,2,53
1870,0,0
3892,1,23
152,1,26
3530,2,90
254,0,0
2682,0,0
255,3,9
1449,3,22
618,0,0
1472,2,67
98,1,49
2,0,0
1732,16,257
448,0,0
189,0,0
230,1,28
101,1,41
3259,0,0
2549,26,739
633,7,273
162,1,37
3910,20,656
3911,11,244
56,10,220
412,0,0
3172,6,151
319,0,0
3827,6,263
1768,4,94
3915,0,0
114,22,553
1906,8,479
1982,1,63
197,7,199
3356,38,609
393,2,45
1913,33,996
65,1,40
13,21,333
3547,20,397
1919,2,62
906,0,0
1595,13,452
3150,18,474
1218,21,484
2021,1,45
1816,5,73
1299,6,169
3930,20,310
3931,1,27
3743,1,31
2280,3,154
3521,4,132
81,0,0
439,1,25
174,9,165
1846,0,0
1933,0,0
3678,1,53
2519,6,230
2038,16,559
293,1,27
2044,0,0
297,1,39
1433,0,0
2052,0,0
2335,1,19
1707,1,24
1945,1,44
151,1,21
2479,1,46
223,0,0
2511,3,26
46,1,12
3757,0,0
3946,0,0
158,0,0
305,1,22
1474,1,29
227,0,0
831,0,0
49,0,0
306,1,21
96,0,0
1488,2,34
355,0,0
166,1,34
120,33,926
643,2,54
1182,31,1031
397,2,62
420,2,49
614,0,0
421,0,0
3932,9,348
208,3,111
143,1,46
637,3,63
3265,3,63
220,1,38
443,4,80
430,3,104
3526,8,204
2520,11,47
3947,1,41
2685,1,34
256,7,127
1525,1,39
1543,1,36
3447,0,0
1992,3,114
434,1,44
199,4,216
2012,4,200
493,20,873
206,53,948
3117,0,0
173,1,39
359,3,102
364,4,142
3888,1,36
140,1,38
2518,1,34
2523,1,50
471,4,97
2039,5,111
428,3,52
1686,39,687
405,3,70
179,1,29
2444,0,0
1701,0,0
1702,0,0
218,1,21
3440,1,15
182,4,125
3049,2,51
2056,4,77
352,3,13
562,0,0
847,0,0
546,0,0
736,2,104
97,3,36
2884,0,0
453,1,37
610,1,31
3835,4,133
857,1,33
456,0,0
193,0,0
118,1,44
1141,12,378
838,0,0
3295,2,48
124,0,0
464,1,34
557,7,243
422,0,0
2509,1,27
243,2,86
2072,0,0
468,1,47
246,0,0
1376,1,38
822,3,93
294,0,0
214,0,0
519,3,76
1867,0,0
299,4,54
149,0,0
408,2,75
3050,3,66
3825,3,18
386,0,0
768,1,42
656,0,0
188,1,25
257,0,0
53,1,43
2703,1,32
1066,5,112
2704,8,269
454,1,47
309,2,56
564,15,411
273,1,43
2179,1,52
900,9,285
2001,30,515
358,1,46
2085,0,0
2011,1,32
764,35,1208
2015,1,38
463,1,37
1805,19,519
375,0,0
376,1,35
28,0,0
209,3,73
139,3,82
289,11,195
1348,1,29
2077,0,0
603,6,200
403,1,22
1700,1,18
1703,1,16
3170,1,19
41,0,0
1706,7,138
351,1,34
383,5,72
222,2,74
368,5,154
153,3,33
303,3,11
225,0,0
446,0,0
187,0,0
307,0,0
449,1,48
450,1,27
3035,4,90
1975,17,497
111,6,186
2389,5,76
8,0,0
2709,0,0
2167,6,177
2076,40,847
61,0,0
235,15,421
2182,20,431
3922,2,46
599,0,0
1614,1,48
73,0,0
3708,10,310
1930,0,0
1306,0,0
328,3,58
400,0,0
2036,3,82
2475,0,0
3832,12,278
250,2,79
298,1,27
3171,1,16
301,5,82
183,2,72
367,3,65
3443,3,135
3047,0,0
1947,6,136
3261,0,0
156,3,15
3818,1,48
526,0,0
1727,0,0
385,14,51
333,1,29
3449,0,0
563,7,105
620,2,86
451,11,187
2953,1,30
515,1,42
3053,63,991
3364,24,598
339,1,43
530,7,145
567,3,52
3179,1,32
1326,0,0
496,2,72
2087,3,164
3901,0,0
810,9,95
2302,13,165
569,1,37
490,3,104
524,4,91
1862,7,242
652,7,143
536,7,117
229,0,0
1967,1,47
477,5,101
373,6,240
833,12,199
1996,9,128
236,29,1035
528,3,136
926,64,2634
3824,15,481
138,1,37
497,5,141
518,4,96
1942,14,278
1441,1,23
3054,3,65
185,8,176
657,1,20
387,1,28
512,1,29
3970,1,51
929,1,48
3166,0,0
646,1,26
549,1,48
3802,5,145
636,10,229
330,3,58
2096,3,60
535,3,97
3428,0,0
3328,4,83
3875,3,74
552,7,130
3817,0,0
3466,37,1140
268,0,0
2098,6,77
392,21,397
200,1,44
2192,13,538
644,1,36
600,2,71
340,0,0
835,1,45
587,1,41
588,1,30
362,0,0
488,5,132
2638,2,89
342,1,26
3445,1,57
3531,4,134
3260,3,89
177,2,96
3636,1,28
473,0,0
3441,0,0
384,2,58
3446,4,166
409,7,29
304,9,47
573,4,87
3455,0,0
607,3,93
276,5,93
417,1,36
344,3,48
2045,4,90
1868,5,135
2090,4,82
3182,13,201
3971,7,135
221,3,42
2764,1,39
2747,1,47
1743,3,109
640,7,191
2381,5,88
575,0,0
1530,4,128
457,1,26
324,0,0
3390,5,114
647,0,0
2434,3,52
175,0,0
2048,3,59
542,7,139
616,7,100
3972,4,110
474,5,119
545,1,40
481,3,104
356,1,31
2154,2,97
2084,1,44
59,0,0
336,7,162
539,3,98
2914,3,114
399,3,97
3973,1,39
2521,6,180
3264,1,36
560,1,34
90,0,0
350,0,0
2054,0,0
3262,1,42
184,7,149
2095,4,77
444,3,72
629,12,188
93,0,0
1476,4,98
3634,1,24
595,3,30
259,3,95
1891,3,50
191,1,40
262,2,53
2749,143,4068
634,1,45
325,0,0
2206,2,60
1920,2,64
3244,8,213
337,2,90
395,3,82
360,3,59
3176,9,230
523,4,87
467,2,57
378,1,40
401,0,0
3048,2,52
343,2,94
312,4,150
178,3,81
148,0,0
653,2,73
349,3,82
3268,3,99
253,10,221
224,6,64
502,0,0
1314,0,0
786,5,76
1695,8,350
627,13,219
498,15,326
3789,9,285
826,21,369
1590,12,298
830,9,185
798,1,36
723,6,167
480,0,0
3454,2,62
54,21,567
504,5,81
544,11,272
846,27,127
770,2,43
775,9,160
3834,4,163
3366,1,36
561,12,174
3266,9,210
3,13,292
820,10,309
661,9,202
509,0,0
1965,0,0
827,3,84
494,1,36
834,3,131
3974,3,60
836,16,371
3906,3,87
508,4,104
910,14,528
3712,12,289
763,3,60
604,2,54
705,6,75
2073,1,41
805,5,97
3183,17,479
537,5,131
3051,5,88
758,7,133
772,5,83
678,0,0
1704,2,48
638,16,275
1710,17,392
510,0,0
780,5,236
503,3,60
538,5,126
11,4,74
613,2,72
558,5,141
3363,6,141
245,0,0
382,1,15
3837,10,93
719,4,73
2525,3,42
521,4,160
2892,10,320
2204,7,260
701,3,138
3272,4,113
402,5,115
142,3,119
427,1,47
543,17,264
513,3,40
1110,1,26
754,6,159
365,2,58
650,6,156
3269,3,115
181,1,23
3448,4,105
482,1,28
553,3,45
532,0,0
379,3,75
3934,1,34
729,6,103
3897,6,95
331,4,120
655,9,154
617,6,137
571,5,101
267,54,1341
554,9,179
3839,12,241
782,1,33
568,3,71
3833,4,98
3439,1,44
1025,8,277
3368,7,101
632,0,0
793,20,294
597,1,45
576,4,112
514,3,83
728,5,77
2392,5,84
579,2,102
520,5,85
3714,7,104
316,1,18
582,0,0
631,1,14
794,10,253
322,1,30
3357,7,115
516,1,40
752,0,0
2294,3,62
581,7,240
745,1,45
3511,17,528
832,5,71
492,3,105
3477,14,270
766,2,94
3519,8,166
3263,8,106
244,0,0
3635,1,25
3962,1,30
823,2,41
3267,27,287
594,3,31
1803,9,190
580,6,143
533,1,27
824,3,118
3900,1,14
711,1,33
744,1,30
574,4,173
491,3,59
3107,10,248
621,31,1000
486,5,115
649,1,48
738,3,62
602,1,45
3490,6,218
2999,13,314
296,6,234
38,47,1068
219,3,78
2528,14,368
476,5,157
964,19,339
3370,12,257
285,16,604
993,5,107
959,18,440
982,14,377
955,10,271
940,12,318
2100,25,535
3788,28,805
783,20,925
1011,11,316
1028,13,362
996,13,352
998,6,160
950,27,947
973,8,237
987,7,289
967,8,180
1301,14,654
980,14,403
720,13,348
