产品SKU,产品浏览量,产品加入购物车次数
731,164,16
53,143,15
1967,115,12
412,173,12
57,104,10
1752,117,13
576,132,13
4043,81,16
1975,171,12
3893,93,11
3447,183,10
456,99,14
193,151,12
273,191,15
459,227,13
323,217,14
1920,153,13
1804,171,10
19,57,16
2895,264,10
487,399,13
375,144,9
464,125,17
2022,129,11
397,177,12
420,244,17
3859,1585,16
400,87,13
80,424,13
467,76,17
242,59,14
1334,110,16
3531,385,16
1356,105,9
2294,207,14
37,120,12
407,122,17
180,417,12
1943,64,12
90,105,14
183,94,13
3054,70,10
3530,81,13
184,73,10
3049,58,11
222,100,12
4060,31,12
2086,30,11
303,21,12
224,53,11
3817,59,15
386,217,10
711,538,15
227,65,13
97,66,15
187,46,14
1732,45,9
54,194,8
4182,82,13
191,101,8
2549,92,8
640,136,12
454,132,14
610,127,8
310,234,14
1764,120,10
4127,151,15
2795,161,9
373,298,15
118,371,13
434,94,13
3918,87,15
324,176,9
200,203,12
643,41,8
358,225,9
4118,46,15
239,307,9
172,77,12
2504,207,14
1626,60,15
647,208,14
557,141,13
364,43,9
2434,278,15
30,79,15
210,110,14
2518,180,15
3994,172,9
3437,534,12
2733,129,13
312,249,13
33,169,8
3964,220,12
1686,159,13
2048,439,10
405,427,14
756,94,10
2672,261,8
473,264,12
181,113,14
3990,48,15
1945,105,8
220,107,11
351,121,11
3050,77,13
254,32,14
185,88,15
223,42,13
4175,18,15
4039,33,10
409,70,11
768,614,11
446,41,14
316,80,15
188,51,8
106,77,12
1896,141,13
1110,317,10
2154,75,13
2750,84,10
1767,62,8
372,135,11
3821,116,12
114,92,8
272,282,7
276,151,13
687,47,9
1182,78,8
1209,214,11
691,37,10
395,93,12
599,82,11
1805,94,9
126,113,10
4183,209,13
129,25,11
2977,161,7
2025,85,7
376,137,7
360,72,7
77,145,7
421,143,11
3519,115,13
3928,33,13
3308,250,13
28,83,13
3179,211,11
2072,30,9
139,74,8
140,73,9
1663,70,11
3445,164,9
2077,120,10
470,84,11
4135,66,8
143,97,9
294,70,7
1681,135,10
249,287,12
1411,273,9
1939,285,9
250,214,13
38,110,11
1942,193,10
429,1229,11
41,63,7
301,30,11
2090,75,10
3443,116,8
3047,105,11
444,34,7
368,51,11
186,22,12
4162,13,8
4134,16,9
3947,200,13
2689,52,9
546,754,13
93,119,11
736,443,12
573,174,9
305,41,8
1475,67,8
831,282,9
657,78,9
1033,343,20
2764,278,17
1066,323,16
17,299,18
530,47,22
3166,256,24
379,262,17
3635,162,13
910,213,21
1868,104,22
702,139,15
349,83,20
315,72,19
3972,107,24
2520,45,20
259,179,16
574,176,12
308,148,17
450,162,19
262,94,21
607,121,20
2180,192,17
2406,109,12
4184,148,13
244,98,23
380,117,15
3439,217,13
4014,183,14
683,41,16
179,150,14
147,231,14
182,266,16
219,148,20
383,108,17
2095,110,15
225,176,13
1057,250,20
2704,133,21
2381,347,19
356,197,11
598,97,20
166,131,13
235,187,18
197,300,18
3356,172,20
1913,177,14
3838,129,21
1201,145,17
3777,106,21
396,182,17
359,239,16
549,168,12
4080,390,15
588,116,18
738,253,18
177,118,11
471,269,16
2045,641,11
519,243,12
382,200,20
367,90,11
443,114,16
152,99,11
2054,99,16
384,107,18
431,100,14
618,93,20
553,31,13
595,47,13
448,194,14
307,134,13
3338,155,11
620,227,18
451,222,16
930,128,13
1996,123,16
3444,91,16
206,217,19
23,102,19
207,114,16
1823,196,18
1826,589,17
646,166,12
835,109,13
2423,208,16
439,38,12
3989,290,19
721,134,10
2523,99,12
403,216,16
1852,68,18
2440,266,16
2324,337,19
652,341,19
1702,63,16
3262,254,15
767,120,17
253,91,14
629,93,18
604,354,33
793,1112,34
605,622,40
2525,135,41
829,185,33
2709,310,31
2892,972,33
2192,415,27
613,457,31
602,281,24
506,172,38
541,261,27
497,611,32
3267,106,37
780,395,22
3109,296,34
3185,399,31
3023,372,40
2248,147,29
4096,278,36
3833,179,27
3269,178,30
589,355,40
590,427,21
638,288,41
502,143,27
1958,897,31
101,207,33
317,235,27
4172,280,24
679,314,37
468,152,38
4185,160,31
3636,307,21
2473,298,23
248,451,22
544,135,20
3634,396,27
521,154,33
504,221,34
3660,228,36
340,157,29
587,227,37
649,238,22
558,336,36
714,327,20
401,165,27
2094,85,28
3901,130,34
2302,668,24
653,120,29
3441,89,30
3268,167,19
3449,116,37
631,93,30
491,181,23
4136,315,24
418,151,35
523,161,32
836,376,30
2088,206,19
2526,135,32
959,134,24
2443,960,24
299,327,19
536,163,31
811,225,19
826,154,22
510,166,22
726,483,33
597,309,31
575,596,24
794,325,19
1111,227,19
514,242,29
2098,126,33
2084,174,19
564,145,18
3357,308,32
515,156,30
417,193,17
73,93,21
532,368,19
