评论	得分
“史诗般”？“回归人性”？ 不就是一个15岁女孩的恋爱故事吗！？在晋江上估计都入不了V！	1
我真的不知道我为什么会喜欢这本书，我也不知道他想要告诉我什么，是什么类型的书，可是就是一口气读完了，距读完这本书已经有大概四年了，故事梗概也一直在我的脑子里有一个朦胧的意识。	5
跟风读的一本书，读了三分之二就不读下去了，有点言情小说的感觉。	2
整本书，边看，边有画面感，整体感觉，比较理想化，有一种梦呓的感觉，但，不失为一个温馨的好故事。	4
。。。故事太单调了。。。作者细节描写的很好，但是情节真的很无趣。。但宣传很给力，以后还是得考之前多看看各方的评价。。	3
好喜欢崔斯坦，好喜欢荒原里每一个安全屋	5
题材挺新颖的，故事进度也还可以，一般般吧	3
有点玛丽苏……	2
可能在下是个粗鄙之人，没看出治愈，甚至故事内涵都没太理解。	2
小女孩的成长故事，充满想象，情节意料之外又合情合理。	4
很久没看过小说了，而且是一口气看完。当我们心中有了信念，有了爱与勇气，我们将会无所畏惧。	4
十分不错，抚慰人心，治愈	4
我怎么感觉像是一个十五岁的女孩做的梦啊。。。有点假	3
不太明白怎么就火成经典了，和《一个人的朝圣》一个套路	3
一般吧，就是个故事	3
难看死了	1
所以，究竟谁才是谁的摆渡人呢？🤔	3
那阵子打开各大排行，这本书都名列前茅，又有个很心灵鸡汤的书名，可是呢，不知道是不是自己悟性不够，不太明白作者想要表达什么，爱情吗？勇气吗？	3
有点恋爱脑	4
披着救赎 坚强外衣的爱情 最棒的我觉得应该是到达目的地后 她遇到乔纳斯周围的世界 每个人都可以回到自己的所构想的家 这段值两颗星	3
本质上和暮光之城好像也没什么区别，再剁手某某网站畅销书就自杀	3
看到她和摆渡人之间的爱情，我觉得莫名其妙。	1
呵呵呵呵呵呵呵，这是我人生的一场噩梦，白白浪费了三小时，本着开始了就看完的心态，一句话的事能写一本，灵魂治愈？你们能不能别吹了，毫无水平呵呵呵呵呵	1
垃圾书白费了我买书的钱	1
有点失望，太人云亦云，其实就一般般吧	2
