产品SKU,订单产品数量,订单产品收入
3255,1,41
1057,45,868
262,3,74
2703,1,40
1973,6,227
538,3,73
2389,10,206
310,44,1412
114,9,224
2076,17,580
2795,2,66
169,1,47
1992,0,0
434,0,0
2592,18,346
1913,19,736
3151,24,432
3834,3,104
339,0,0
375,0,0
2022,3,85
420,1,34
329,0,0
3743,3,58
2510,0,0
3490,1,34
138,0,0
31,1,41
83,31,742
4062,3,79
1356,1,47
3567,1,28
2298,6,113
1376,0,0
294,0,0
2475,0,0
147,22,454
3896,1,43
3265,3,71
3877,1,21
3892,0,0
301,2,52
3990,0,0
367,6,265
3047,4,101
3050,9,118
185,1,23
368,5,121
2058,4,56
186,2,15
3261,3,19
711,0,0
256,1,16
96,0,0
188,0,0
1952,1,39
259,5,246
190,0,0
53,1,47
101,1,24
106,10,208
1525,3,83
268,1,39
634,1,41
1110,0,0
4000,15,388
4041,15,337
598,7,356
112,1,30
2167,0,0
272,0,0
273,1,24
61,1,45
63,7,194
196,9,222
197,1,26
276,3,86
1785,0,0
2406,0,0
2082,19,510
1208,0,0
126,12,244
2229,3,54
171,0,0
3450,7,148
2731,0,0
177,1,38
213,2,73
345,4,148
1852,19,513
472,1,27
297,0,0
570,13,397
1700,1,27
149,3,41
3328,0,0
1945,1,42
220,1,45
444,1,26
254,1,39
1947,0,0
2520,3,10
2511,0,0
156,4,36
225,0,0
763,1,31
573,2,35
95,1,17
187,0,0
448,0,0
2916,1,38
353,0,0
1894,15,598
450,0,0
263,0,0
233,1,41
3259,1,48
266,0,0
605,16,617
1513,0,0
1748,0,0
453,1,35
1522,1,27
3199,1,34
1523,7,208
3827,7,172
59,1,25
1549,4,151
1552,2,77
62,35,486
168,8,289
335,14,302
1141,2,83
1991,8,254
1150,8,270
199,3,69
65,0,0
1582,5,114
1595,12,442
2085,0,0
3244,1,25
124,1,45
69,9,310
22,0,0
1814,0,0
464,0,0
1240,12,172
3246,0,0
1623,19,348
25,0,0
421,2,61
3349,14,500
30,1,24
2506,1,29
2517,0,0
2033,10,204
1846,1,50
470,0,0
603,4,149
2519,2,76
4019,5,119
387,1,44
317,9,265
1743,1,50
610,1,29
477,0,0
193,0,0
2953,1,50
323,0,0
2516,9,339
528,6,135
17,15,441
417,0,0
206,43,1399
516,0,0
360,3,68
557,17,301
523,1,43
1326,0,0
3496,3,151
3260,4,160
2090,4,94
1441,4,99
315,0,0
184,8,239
3049,6,110
582,0,0
563,1,26
1501,1,32
451,1,24
1066,2,74
452,3,55
964,2,49
356,3,82
3995,10,212
754,2,69
372,0,0
913,0,0
391,0,0
3356,58,1032
120,36,891
486,2,68
1920,3,62
3117,0,0
172,2,76
73,1,45
359,2,65
77,0,0
399,0,0
209,0,0
3993,0,0
3048,0,0
3405,0,0
2294,6,260
535,4,148
1868,0,0
3965,3,49
3897,1,16
604,0,0
2764,2,105
58,6,186
309,1,34
2084,0,0
4063,5,106
644,0,0
358,4,142
1805,17,319
600,0,0
397,0,0
328,2,89
3179,1,26
2072,1,26
210,1,37
4064,3,71
343,0,0
1686,25,747
249,3,151
1862,0,0
3837,0,0
182,3,103
653,1,37
351,0,0
3443,5,124
255,7,28
3817,2,45
631,3,50
1033,0,0
308,0,0
449,1,35
597,4,93
1967,0,0
1975,11,439
1543,0,0
2154,0,0
828,25,822
456,1,33
271,0,0
459,3,72
3107,3,77
324,1,48
325,3,39
643,1,39
1792,32,931
437,5,265
2237,11,424
2977,0,0
647,1,27
3928,0,0
467,1,40
208,0,0
243,6,192
1337,3,69
4057,0,0
2523,1,45
2039,0,0
38,30,636
180,1,37
181,0,0
542,8,208
3526,1,36
3530,4,123
3446,1,55
44,4,22
224,4,36
409,4,36
562,0,0
316,1,21
257,1,52
2884,3,90
189,0,0
2704,7,263
2385,0,0
4017,1,34
564,13,262
2393,46,1260
357,0,0
873,0,0
599,0,0
645,0,0
239,0,0
623,5,96
2021,1,34
376,2,79
567,1,27
3519,0,0
400,0,0
242,1,39
2069,1,32
364,3,56
541,1,39
175,0,0
212,3,174
471,1,26
291,2,66
428,1,27
1681,3,110
910,0,0
296,10,284
248,7,276
1939,0,0
250,1,36
1697,7,116
148,1,23
2051,0,0
42,2,88
350,0,0
384,6,102
91,1,43
222,3,80
3433,5,133
4065,1,9
4042,5,19
