产品SKU,产品浏览量,产品加入购物车次数
1957,460,14
190,101,14
1057,300,9
454,82,8
2385,187,12
1525,110,8
4000,67,14
4043,62,12
1767,91,14
1905,91,10
1982,66,11
273,185,12
199,284,10
200,134,9
1917,74,10
171,97,11
239,557,14
2505,182,12
488,140,11
624,154,13
3349,208,14
2510,52,14
211,132,10
2033,139,12
246,101,14
1377,147,13
294,87,10
347,116,11
1857,98,15
1943,94,13
90,118,8
3265,73,12
2090,67,11
1945,239,14
367,82,12
222,108,13
1947,34,15
44,26,12
4134,43,10
1447,18,8
1876,28,12
768,744,9
618,139,14
711,518,8
1472,191,11
158,77,13
1888,196,10
1733,120,13
1735,363,11
53,139,7
1055,117,7
1893,94,7
451,235,7
1966,38,9
606,98,7
108,108,7
1522,236,7
58,100,13
3980,112,7
4016,28,8
59,195,9
3821,100,9
3915,81,11
275,297,7
169,141,13
1992,125,9
1996,86,8
3918,121,7
12,66,8
2001,122,12
3514,153,9
1919,66,12
2082,72,13
2085,43,9
1201,210,11
2011,422,8
68,64,9
2968,169,7
2412,201,8
2234,312,10
1244,25,10
2023,115,9
75,71,7
173,214,13
835,131,7
2256,116,8
1646,209,7
3986,20,9
2638,465,7
311,171,12
439,63,10
244,191,12
210,98,9
3994,271,9
3041,300,10
2298,401,9
2036,218,7
2519,126,9
3683,55,9
1672,641,11
1675,188,11
213,113,12
295,101,13
1686,249,12
3774,74,11
3170,109,7
2052,65,7
301,71,9
1874,34,10
4114,19,7
2511,39,9
3830,21,13
4119,165,13
847,712,7
502,100,9
2884,141,17
4019,67,16
1501,341,15
1098,195,15
1975,267,19
1543,577,13
276,223,20
336,398,17
236,216,19
358,359,24
395,113,17
172,111,17
420,311,20
649,170,16
3179,350,14
208,43,19
209,121,25
3635,168,16
471,267,16
2324,634,16
38,233,22
2672,201,16
3054,140,19
3530,63,15
537,306,23
4095,176,15
573,241,13
448,124,18
308,172,13
2704,220,12
575,493,23
598,213,12
8,78,18
1547,325,20
357,366,22
323,177,12
833,546,13
4117,209,13
2516,113,14
3444,171,15
599,222,17
126,98,16
3859,1292,22
523,101,17
1314,178,15
242,96,15
296,225,22
2048,649,21
250,428,16
570,80,19
652,484,14
542,161,13
223,94,14
409,103,13
481,901,12
582,149,14
4132,70,16
4046,111,16
607,127,14
1748,99,21
734,63,20
319,129,20
1110,847,18
309,153,11
434,166,18
646,190,13
397,179,20
1299,99,14
364,107,16
650,119,11
3269,146,12
3496,471,19
403,191,19
3964,580,19
2045,935,11
2440,354,20
248,279,19
1942,207,14
298,745,21
1697,96,16
182,232,14
1441,210,13
383,113,18
2054,156,17
431,80,11
444,45,16
253,109,16
255,30,21
2520,38,12
3947,433,19
227,156,11
259,347,17
1967,170,14
2134,246,10
